sample.id	cluster.id	cluster.name		
ABKE	89	Wine_European
ABKF	89	Wine_European
ABKG	89	Wine_European
ABKH	89	Wine_European
ABKI	89	Wine_European
ABKK	89	Wine_European
ABKL	89	Wine_European
ABKM	89	Wine_European
ABKN	89	Wine_European
ABKP	89	Wine_European
ABKQ	89	Wine_European
ABKR	89	Wine_European
ABKS	89	Wine_European
ABKT	89	Wine_European
ABLA	89	Wine_European
ABLB	89	Wine_European
ABLC	89	Wine_European
ABLD	89	Wine_European
ABLE	89	Wine_European
ABLF	89	Wine_European
ABLG	89	Wine_European
ABLH	89	Wine_European
ABLI	89	Wine_European
ABLK	89	Wine_European
ABLL	89	Wine_European
ABLM	89	Wine_European
ABLN	89	Wine_European
ABLP	89	Wine_European
ABLQ	89	Wine_European
ABLR	89	Wine_European
ABLS	89	Wine_European
ABLT	89	Wine_European
ABLV	89	Wine_European
ABMA	18	Tree_Malaysia
ABMB	18	Tree_Malaysia
ABMC	18	Tree_Malaysia
ABMD	74	Human_clust3
ABME	42	Dairy_Tree
ABMF	43	Human_EuropeSouthAmerica
ABMG	83	MixedOrigins_clust4
ABMH	17	Human_Italy_Clinical
ABMI	17	Human_Italy_Clinical
ABMK	17	Human_Italy_Clinical
ABML	51	MixedOrigins_ClinicalBakery
ABMM	51	MixedOrigins_ClinicalBakery
ABMN	31	Human_France_Sboulardiisolates
ABMQ	43	Human_EuropeSouthAmerica
ABMR	86	Human_FrenchGuiana
ABMV	86	Human_FrenchGuiana
ABNA	86	Human_FrenchGuiana
ABNB	86	Human_FrenchGuiana
ABNC	86	Human_FrenchGuiana
ABND	86	Human_FrenchGuiana
ABNE	89	Wine_European
ABNF	89	Wine_European
ABNG	44	Wine_European_clust2
ABNH	89	Wine_European
ABNI	89	Wine_European
ABNK	89	Wine_European
ABNL	89	Wine_European
ABNM	89	Wine_European
ABNN	89	Wine_European
ABNP	89	Wine_European
ABNQ	89	Wine_European
ABNR	89	Wine_European
ABNT	89	Wine_European
ABNV	89	Wine_European
ABPA	2	Mosaic_region_uncharacterized
ABPB	89	Wine_European
ABPC	89	Wine_European
ABPF	89	Wine_European
ABPG	89	Wine_European
ABPH	89	Wine_European
ABPI	15	Tecc
ABPK	89	Wine_European
ABPL	44	Wine_European_clust2
ABPM	89	Wine_European
ABPN	15	Tecc
ABPP	89	Wine_European
ABPQ	89	Wine_European
ABPR	44	Wine_European_clust2
ABPT	89	Wine_European
ABPV	89	Wine_European
ABQA	89	Wine_European
ABQB	89	Wine_European
ABQC	89	Wine_European
ABQE	89	Wine_European
ABQG	89	Wine_European
ABQH	89	Wine_European
ABQI	89	Wine_European
ABQM	89	Wine_European
ABQN	89	Wine_European
ABQP	89	Wine_European
ABQQ	89	Wine_European
ABQR	89	Wine_European
ABQS	89	Wine_European
ABQT	89	Wine_European
ABRA	89	Wine_European
ABRB	89	Wine_European
ABRC	89	Wine_European
ABRD	89	Wine_European
ABRE	89	Wine_European
ABRF	24	Wine_European_clust3
ABRG	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
ABRH	89	Wine_European
ABRK	68	Alpechin(oliveoil)
ABRL	41	closetoS288C
ABRM	8	Beer_European_clust2
ABRP	1	Beer_European_BelgiumGermany
ABRQ	7	Beer_European_BelgiumGermany_clust2
ABRV	10	HumanClinical_USA
ABSA	89	Wine_European
ABSB	89	Wine_European
ABSC	89	Wine_European
ABSD	89	Wine_European
ABSE	89	Wine_European
ABSG	89	Wine_European
ABSI	1	Beer_European_BelgiumGermany
ABSK	74	Human_clust3
ABSL	40	Wine_AustraliaNZFranceGeorgia
ABSM	24	Wine_European_clust3
ABSN	24	Wine_European_clust3
ABSP	89	Wine_European
ABSR	90	Wine_PdM
ABSS	90	Wine_PdM
ABST	89	Wine_European
ABTA	43	Human_EuropeSouthAmerica
ABTB	49	MixedOrigins_BakeryMosaicMauri
ABTC	83	MixedOrigins_clust4
ABTD	50	MixedOrigins_clust3
ABTE	51	MixedOrigins_ClinicalBakery
ABTF	65	MixedOrigins_clust2
ABTG	33	Tree_MediterraneanOak
ABTH	89	Wine_European
ABTI	78	CHN_VIII_tree
ABTL	89	Wine_European
ABTN	89	Wine_European
ABTP	90	Wine_PdM
ABTR	90	Wine_PdM
ABTS	81	Sake
ABTT	27	BrazilianBioethanol_Cachaca
ABTV	27	BrazilianBioethanol_Cachaca
ABVA	27	BrazilianBioethanol_Cachaca
ABVB	27	BrazilianBioethanol_Cachaca
ABVC	27	BrazilianBioethanol_Cachaca
ABVD	39	BrazilianBioethanol
ABVE	27	BrazilianBioethanol_Cachaca
ABVF	39	BrazilianBioethanol
ABVG	39	BrazilianBioethanol
